user,comment,time,votes,Case Folding,stopword removal,Lemmatization,tokens,stemming
@melaniveronikatampubolon2006,"Iyakann, fakta yg jleb",1 day ago,1,iyakann fakta yg jleb,iyakann fakta yg jleb,iyakann fakta yg jleb,"['iyakann', 'fakta', 'yg', 'jleb']",iyakann fakta yg jleb
@Oyen-btw,"butuh Ekonom ya pak. Bismillah.. otw S3 

Rizki
4 Desember 2025
Ut korsel S1
Fakultas ekonomi & bisnis. 
Manajemen",1 day ago (edited),1,butuh ekonom ya pak bismillah otw s3 rizki 4 desember 2025 ut korsel s1 fakultas ekonomi bisnis manajemen,butuh ekonom pak bismillah otw s rizki desember ut korsel s fakultas ekonomi bisnis manajemen,butuh ekonom pak bismillah otw s rizki desember ut korsel s fakultas ekonomi bisnis manajemen,"['butuh', 'ekonom', 'pak', 'bismillah', 'otw', 's', 'rizki', 'desember', 'ut', 'korsel', 's', 'fakultas', 'ekonomi', 'bisnis', 'manajemen']",butuh ekonom pak bismillah otw s rizki desember ut korsel s fakultas ekonomi bisnis manajemen
@widodobasuki3008,WAJIBKAN SEMUA ANGGOTA DEWAN.... DPRD.....DPR UNTUK MENDENGARKAN DAN MENGANALISA SEMUA ISI PODCAST INI.... DAN SURUH MEREKA MASING2 MEMBUAT KESIMPULANNYA .......BISA NDAK.....😅😅😅😅,1 day ago,0,wajibkan semua anggota dewan dprddpr untuk mendengarkan dan menganalisa semua isi podcast ini dan suruh mereka masing2 membuat kesimpulannya bisa ndak,wajibkan semua anggota dewan dprddpr mendengarkan menganalisa semua isi podcast dan suruh masing membuat kesimpulannya ndak,wajib semua anggota dewan dprddpr dengar menganalisa semua isi podcast dan suruh masing buat simpul ndak,"['wajib', 'semua', 'anggota', 'dewan', 'dprddpr', 'dengar', 'menganalisa', 'semua', 'isi', 'podcast', 'dan', 'suruh', 'masing', 'buat', 'simpul', 'ndak']",wajib semua anggota dewan dprddpr dengar menganalisa semua isi podcast suruh masing buat simpul ndak
@AldiPrastya666,mending nonton ini daripada nonton gibran ngomong 😂,1 day ago,0,mending nonton ini daripada nonton gibran ngomong,mending nonton daripada nonton gibran ngomong,mending nonton daripada nonton gibran ngomong,"['mending', 'nonton', 'daripada', 'nonton', 'gibran', 'ngomong']",mending nonton nonton gibran ngomong
@celenganambu3437,"Mungkin karena Pak Gita dosen, bahasanya ""tinggi"", bahasa"" dewa"" yang dibumikan oleh Pak Purbaya",1 day ago,1,mungkin karena pak gita dosen bahasanya tinggi bahasa dewa yang dibumikan oleh pak purbaya,mungkin pak gita dosen bahasanya tinggi bahasa dewa dibumikan pak purbaya,mungkin pak gita dosen bahasa tinggi bahasa dewa bumi pak purbaya,"['mungkin', 'pak', 'gita', 'dosen', 'bahasa', 'tinggi', 'bahasa', 'dewa', 'bumi', 'pak', 'purbaya']",mungkin pak gita dosen bahasa tinggi bahasa dewa bumi pak purbaya
@gilangramadhan-x007,mentri kita ni,19 hours ago,0,mentri kita ni,mentri ni,tri ni,"['tri', 'ni']",tri ni
@Cholist13,Yang dikirim LPDP sekolah jangan hanya yg pintar.. Tapi memiliki daya juang juga pak,1 day ago,0,yang dikirim lpdp sekolah jangan hanya yg pintar tapi memiliki daya juang juga pak,dikirim lpdp sekolah jangan yg pintar memiliki daya juang pak,kirim lpdp sekolah jangan yg pintar milik daya juang pak,"['kirim', 'lpdp', 'sekolah', 'jangan', 'yg', 'pintar', 'milik', 'daya', 'juang', 'pak']",kirim lpdp sekolah jangan yg pintar milik daya juang pak
@zainulrozikin2061,"""asing banyak yang melirik, kita sendiri yang kadang mempersulit, sebenarnya kita mau apa tidak""😢",13 hours ago,0,asing banyak yang melirik kita sendiri yang kadang mempersulit sebenarnya kita mau apa tidak,asing banyak melirik sendiri kadang mempersulit sebenarnya mau apa,asing banyak lirik sendiri kadang sulit benar mau apa,"['asing', 'banyak', 'lirik', 'sendiri', 'kadang', 'sulit', 'benar', 'mau', 'apa']",asing banyak lirik sendiri kadang sulit benar mau apa
@HendyBirdaily,Daging semua,7 hours ago,0,daging semua,daging semua,daging semua,"['daging', 'semua']",daging semua
@jwkarsiena,34:11 - 36:58 sedih bener,10 hours ago,0,3411 3658 sedih bener,sedih bener,sedih bener,"['sedih', 'bener']",sedih bener
@indraisa,Daging semua,1 day ago,0,daging semua,daging semua,daging semua,"['daging', 'semua']",daging semua
@Starfall_01,Reaksi gw sepanjang podcast: Anj ini 2 orang pinter ngobrol serem kali:face-purple-wide-eyes:,1 day ago,0,reaksi gw sepanjang podcast anj ini 2 orang pinter ngobrol serem kalifacepurplewideeyes,reaksi gw sepanjang podcast anj orang pinter ngobrol serem kalifacepurplewideeyes,reaksi gw panjang podcast anj orang pinter ngobrol rem kalifacepurplewideeyes,"['reaksi', 'gw', 'panjang', 'podcast', 'anj', 'orang', 'pinter', 'ngobrol', 'rem', 'kalifacepurplewideeyes']",reaksi gw panjang podcast anj orang pinter ngobrol rem kalifacepurplewideeyes
@dianarahayu9972,Berarti anakku pinter donk bisa mnyelesaikan Prodi S1  Ekonomi...😂,1 day ago,0,berarti anakku pinter donk bisa mnyelesaikan prodi s1 ekonomi,berarti anakku pinter donk mnyelesaikan prodi s ekonomi,arti anak pinter donk mnyelesaikan prodi s ekonomi,"['arti', 'anak', 'pinter', 'donk', 'mnyelesaikan', 'prodi', 's', 'ekonomi']",arti anak pinter donk mnyelesaikan prodi s ekonomi
@AstaRadha,"Tolong dibantu pak Presiden Prabowo, tolong rekrut menteri-menteri yang sesuai bidang untuk kementerian yang sangat mendukung perubahan dan program pak Purbaya",1 day ago,0,tolong dibantu pak presiden prabowo tolong rekrut menterimenteri yang sesuai bidang untuk kementerian yang sangat mendukung perubahan dan program pak purbaya,dibantu pak presiden prabowo rekrut menterimenteri sesuai bidang kementerian sangat mendukung perubahan program pak purbaya,bantu pak presiden prabowo rekrut menterimenteri sesuai bidang menteri sangat dukung ubah program pak purbaya,"['bantu', 'pak', 'presiden', 'prabowo', 'rekrut', 'menterimenteri', 'sesuai', 'bidang', 'menteri', 'sangat', 'dukung', 'ubah', 'program', 'pak', 'purbaya']",bantu pak presiden prabowo rekrut menterimenteri sesuai bidang menteri sangat dukung ubah program pak purbaya
@deyusbali7854,"Make it simple pak, kembalikan pertanian,perkebunan, perikanan dengan teknologi dan bantu distribusi global",3 hours ago,0,make it simple pak kembalikan pertanianperkebunan perikanan dengan teknologi dan bantu distribusi global,make it simple pak kembalikan pertanianperkebunan perikanan teknologi bantu distribusi global,make it simple pak kembali pertanianperkebunan ikan teknologi bantu distribusi global,"['make', 'it', 'simple', 'pak', 'kembali', 'pertanianperkebunan', 'ikan', 'teknologi', 'bantu', 'distribusi', 'global']",make it simple pak pertanianperkebunan ikan teknologi bantu distribusi global
@nasmididr1159,Daging semua,1 day ago,0,daging semua,daging semua,daging semua,"['daging', 'semua']",daging semua
@NgadiminSecangkirkopi,Daging semua,22 hours ago,0,daging semua,daging semua,daging semua,"['daging', 'semua']",daging semua
@Golan-p4w,Gimana pak Gita..? Mantap kan Menkeu kita...❤,22 hours ago,0,gimana pak gita mantap kan menkeu kita,gimana pak gita mantap kan menkeu,gimana pak gita mantap kan menkeu,"['gimana', 'pak', 'gita', 'mantap', 'kan', 'menkeu']",gimana pak gita mantap kan menkeu
@pakeragi,"""INDONESIA KEKURANGAN ORANG PINTAR."" Kondisi ini sepertinya sengaja dibentuk agar supaya ""rakyat Indonesia"" bisa diatur oleh ""PENGUASA"" yang mau menguras kekayaan Indonesia untuk kepentingan pribadi/partai/golongan tertentu. Semoga bisa diperbaiki oleh team yang pintar dan benar-benar peduli dengan Indonesia.",4 hours ago,2,indonesia kekurangan orang pintar kondisi ini sepertinya sengaja dibentuk agar supaya rakyat indonesia bisa diatur oleh penguasa yang mau menguras kekayaan indonesia untuk kepentingan pribadipartaigolongan tertentu semoga bisa diperbaiki oleh team yang pintar dan benarbenar peduli dengan indonesia,indonesia kekurangan orang pintar kondisi sepertinya sengaja dibentuk supaya rakyat indonesia diatur penguasa mau menguras kekayaan indonesia kepentingan pribadipartaigolongan tertentu semoga diperbaiki team pintar benarbenar peduli indonesia,indonesia kurang orang pintar kondisi seperti sengaja bentuk supaya rakyat indonesia atur kuasa mau uras kaya indonesia penting pribadipartaigolongan tentu moga baik team pintar benarbenar peduli indonesia,"['indonesia', 'kurang', 'orang', 'pintar', 'kondisi', 'seperti', 'sengaja', 'bentuk', 'supaya', 'rakyat', 'indonesia', 'atur', 'kuasa', 'mau', 'uras', 'kaya', 'indonesia', 'penting', 'pribadipartaigolongan', 'tentu', 'moga', 'baik', 'team', 'pintar', 'benarbenar', 'peduli', 'indonesia']",indonesia kurang orang pintar kondisi sengaja bentuk rakyat indonesia atur kuasa mau uras kaya indonesia penting pribadipartaigolongan moga baik team pintar benarbenar peduli indonesia
@masangkuliner5079,Menteri yang sesuai bidangnya bukan dari partai,1 day ago,1,menteri yang sesuai bidangnya bukan dari partai,menteri sesuai bidangnya bukan partai,menteri sesuai bidang bukan partai,"['menteri', 'sesuai', 'bidang', 'bukan', 'partai']",menteri sesuai bidang bukan partai
@RumahMinyakcurah,ok,17 hours ago,0,ok,,,[],
@Netrio-u1c,45:47 cita-cita yang sangat luar biasa dari pak Prabowo semoga bisa terealisasi,1 day ago,0,4547 citacita yang sangat luar biasa dari pak prabowo semoga bisa terealisasi,citacita sangat luar biasa pak prabowo semoga terealisasi,citacita sangat luar biasa pak prabowo moga realisasi,"['citacita', 'sangat', 'luar', 'biasa', 'pak', 'prabowo', 'moga', 'realisasi']",citacita sangat luar biasa pak prabowo moga realisasi
@Cameraphotoku39,Mentri keuangan too the moon,10 hours ago,0,mentri keuangan too the moon,mentri keuangan too the moon,tri uang too the moon,"['tri', 'uang', 'too', 'the', 'moon']",tri uang too the moon
@nusapenidadriver,Tlong penemu² teknologi disuport jg. Seperti pembuat mobil listrik yg djegal gk lulus emisi.. bukannya suport malah dimatikan!,1 day ago,1,tlong penemu teknologi disuport jg seperti pembuat mobil listrik yg djegal gk lulus emisi bukannya suport malah dimatikan,tlong penemu teknologi disuport jg pembuat mobil listrik yg djegal gk lulus emisi bukannya suport malah dimatikan,tlong temu teknologi disuport jg buat mobil listrik yg djegal gk lulus emisi bukan suport malah mati,"['tlong', 'temu', 'teknologi', 'disuport', 'jg', 'buat', 'mobil', 'listrik', 'yg', 'djegal', 'gk', 'lulus', 'emisi', 'bukan', 'suport', 'malah', 'mati']",tlong temu teknologi disuport jg buat mobil listrik yg djegal gk lulus emisi bukan suport malah mati
@cahayasurga-v1e,"Saya juga pengen lho sekolah lagi jurusan Psikologi, tapi dengan banyak pertimbangan  AKHIRNYA   OTODIDAK AJA LAH. Semoga bermanfaat kayak  yang diberikan pada Cak Nun, aamiin.",1 day ago,0,saya juga pengen lho sekolah lagi jurusan psikologi tapi dengan banyak pertimbangan akhirnya otodidak aja lah semoga bermanfaat kayak yang diberikan pada cak nun aamiin,juga pengen lho sekolah jurusan psikologi dengan banyak pertimbangan akhirnya otodidak aja lah semoga bermanfaat kayak diberikan cak nun aamiin,juga ken lho sekolah jurus psikologi dengan banyak timbang akhir otodidak aja lah moga manfaat kayak beri cak nun aamiin,"['juga', 'ken', 'lho', 'sekolah', 'jurus', 'psikologi', 'dengan', 'banyak', 'timbang', 'akhir', 'otodidak', 'aja', 'lah', 'moga', 'manfaat', 'kayak', 'beri', 'cak', 'nun', 'aamiin']",ken lho sekolah jurus psikologi banyak timbang akhir otodidak aja lah moga manfaat kayak beri cak nun aamiin
@Nawa_m_i,"Menurut saya sih fiskalnya masih perlu ekspansif dikit pak, defisit 3% masih oke lah. 😂",19 hours ago,0,menurut saya sih fiskalnya masih perlu ekspansif dikit pak defisit 3 masih oke lah,saya sih fiskalnya perlu ekspansif dikit pak defisit oke lah,saya sih fiskal perlu ekspansif dikit pak defisit oke lah,"['saya', 'sih', 'fiskal', 'perlu', 'ekspansif', 'dikit', 'pak', 'defisit', 'oke', 'lah']",sih fiskal perlu ekspansif dikit pak defisit oke lah
@raisya-c7e,"Isterinya pak pur jg hebat,coba kalo dia gk bilang cerai cuma jd midle class tu pak pur😂😂😂",1 day ago,0,isterinya pak pur jg hebatcoba kalo dia gk bilang cerai cuma jd midle class tu pak pur,isterinya pak pur jg hebatcoba kalo gk bilang cerai cuma jd midle class tu pak pur,isterinya pak pur jg hebatcoba kalo gk bilang cerai cuma jd midle class tu pak pur,"['isterinya', 'pak', 'pur', 'jg', 'hebatcoba', 'kalo', 'gk', 'bilang', 'cerai', 'cuma', 'jd', 'midle', 'class', 'tu', 'pak', 'pur']",isterinya pak pur jg hebatcoba kalo gk bilang cerai cuma jd midle class tu pak pur
@Saheriabu,Bayangkan Kalau semua Mentri smart semua. 1 mentri aja berpengaruh  banyak apa lagi kalau semua,5 hours ago,0,bayangkan kalau semua mentri smart semua 1 mentri aja berpengaruh banyak apa lagi kalau semua,bayangkan kalau semua mentri smart semua mentri aja berpengaruh banyak apa kalau semua,bayang kalau semua tri smart semua tri aja pengaruh banyak apa kalau semua,"['bayang', 'kalau', 'semua', 'tri', 'smart', 'semua', 'tri', 'aja', 'pengaruh', 'banyak', 'apa', 'kalau', 'semua']",bayang kalau semua tri smart semua tri aja pengaruh banyak apa kalau semua
@Akbar-q6o,guys kita boleh yah tau ini semua 😅,1 day ago,0,guys kita boleh yah tau ini semua,guys boleh yah tau semua,guys boleh yah tau semua,"['guys', 'boleh', 'yah', 'tau', 'semua']",guys yah tau semua
@nunungkaniwati3291,"mentri nentri titipan, harusnya tahu diri... mereka membuat kebijakan tanpa  dasar yg kuat, alih alih bgm kebijakan tekanan setoran tuntutan partainya.. 
dan ketua partai... yg mau belajar... pasti mikir setir nama nama untuk mentri itu yg jelas  kecerdasannya dan berpihak ya kepada negara",3 hours ago,1,mentri nentri titipan harusnya tahu diri mereka membuat kebijakan tanpa dasar yg kuat alih alih bgm kebijakan tekanan setoran tuntutan partainya dan ketua partai yg mau belajar pasti mikir setir nama nama untuk mentri itu yg jelas kecerdasannya dan berpihak ya kepada negara,mentri nentri titipan harusnya tahu diri membuat kebijakan dasar yg kuat alih alih bgm kebijakan tekanan setoran tuntutan partainya ketua partai yg mau belajar mikir setir nama nama mentri yg jelas kecerdasannya berpihak kepada negara,tri nentri titip harus tahu diri buat bijak dasar yg kuat alih alih bgm bijak tekan setor tuntut partai ketua partai yg mau ajar mikir setir nama nama tri yg jelas cerdas pihak kepada negara,"['tri', 'nentri', 'titip', 'harus', 'tahu', 'diri', 'buat', 'bijak', 'dasar', 'yg', 'kuat', 'alih', 'alih', 'bgm', 'bijak', 'tekan', 'setor', 'tuntut', 'partai', 'ketua', 'partai', 'yg', 'mau', 'ajar', 'mikir', 'setir', 'nama', 'nama', 'tri', 'yg', 'jelas', 'cerdas', 'pihak', 'kepada', 'negara']",tri nentri titip tahu diri buat bijak dasar yg kuat alih alih bgm bijak tekan setor tuntut partai ketua partai yg mau ajar mikir setir nama nama tri yg jelas cerdas pihak negara
@Saheriabu,Bayangkan Kalau semua Mentri smart semua. 1 mentri aja berpengaruh  banyak apa lagi kalau semua,5 hours ago,0,bayangkan kalau semua mentri smart semua 1 mentri aja berpengaruh banyak apa lagi kalau semua,bayangkan kalau semua mentri smart semua mentri aja berpengaruh banyak apa kalau semua,bayang kalau semua tri smart semua tri aja pengaruh banyak apa kalau semua,"['bayang', 'kalau', 'semua', 'tri', 'smart', 'semua', 'tri', 'aja', 'pengaruh', 'banyak', 'apa', 'kalau', 'semua']",bayang kalau semua tri smart semua tri aja pengaruh banyak apa kalau semua
@Pekerja_cupuh,"Pak kalau nilai tukar mata uang gitu, gimana cara explainnya",23 hours ago,0,pak kalau nilai tukar mata uang gitu gimana cara explainnya,pak kalau nilai tukar mata uang gitu gimana cara explainnya,pak kalau nilai tukar mata uang gitu gimana cara explainnya,"['pak', 'kalau', 'nilai', 'tukar', 'mata', 'uang', 'gitu', 'gimana', 'cara', 'explainnya']",pak kalau nilai tukar mata uang gitu gimana cara explainnya
@ibsrsml,Habibi ainun jilid 2,1 day ago,0,habibi ainun jilid 2,habibi ainun jilid,habibi ainun jilid,"['habibi', 'ainun', 'jilid']",habibi ainun jilid
@teduhalam8383,"damn, this is Wagyu A5 level talking",1 day ago,0,damn this is wagyu a5 level talking,damn this is wagyu a level talking,damn this is wagyu a level talking,"['damn', 'this', 'is', 'wagyu', 'a', 'level', 'talking']",damn this is wagyu a level talking
@AlvinHaidar-d6y,Berat anying kuliah s3 ini mah 😁,1 day ago,0,berat anying kuliah s3 ini mah,berat anying kuliah s mah,berat anying kuliah s mah,"['berat', 'anying', 'kuliah', 's', 'mah']",berat anying kuliah s mah
@tvgaull1587,perasaan era dulu menkeu berdiri dipodium smbil ngumumin pajak naik dan naik,12 hours ago,0,perasaan era dulu menkeu berdiri dipodium smbil ngumumin pajak naik dan naik,perasaan era dulu menkeu berdiri dipodium smbil ngumumin pajak naik naik,asa era dulu menkeu diri podium smbil ngumumin pajak naik naik,"['asa', 'era', 'dulu', 'menkeu', 'diri', 'podium', 'smbil', 'ngumumin', 'pajak', 'naik', 'naik']",asa era dulu menkeu diri podium smbil ngumumin pajak naik naik
@angelakloer3338,tetetp ya perusuh-nya dari dalam jg 😭,1 day ago,0,tetetp ya perusuhnya dari dalam jg,tetetp perusuhnya dalam jg,tetetp rusuh dalam jg,"['tetetp', 'rusuh', 'dalam', 'jg']",tetetp rusuh jg
@redstone682,ganti bea cukai dengan sgs swiss,10 hours ago,0,ganti bea cukai dengan sgs swiss,ganti bea cukai sgs swiss,ganti bea cukai sgs swiss,"['ganti', 'bea', 'cukai', 'sgs', 'swiss']",ganti bea cukai sgs swiss
@budisantoso408,"Putra saya ekonomi Nilanya 90,bahasa inggris 97...
Mohon bimbingannya pak",22 hours ago,0,putra saya ekonomi nilanya 90bahasa inggris 97 mohon bimbingannya pak,putra ekonomi nilanya bahasa inggris mohon bimbingannya pak,putra ekonomi nila bahasa inggris mohon bimbing pak,"['putra', 'ekonomi', 'nila', 'bahasa', 'inggris', 'mohon', 'bimbing', 'pak']",putra ekonomi nila bahasa inggris mohon bimbing pak
@didikjunaidi6239,"Perbanyak nonton podcast begini, kurangin nonton podcast Dedi dan Deni!!",19 hours ago,0,perbanyak nonton podcast begini kurangin nonton podcast dedi dan deni,perbanyak nonton podcast begini kurangin nonton podcast dedi deni,banyak nonton podcast begini rangin nonton podcast dedi den,"['banyak', 'nonton', 'podcast', 'begini', 'rangin', 'nonton', 'podcast', 'dedi', 'den']",banyak nonton podcast begini rangin nonton podcast dedi den
@nadyatrsr,"@ Pak Purbaya, itu kalo mau daftar beasiswa S3 bapak tadi, dimana ya? saya mau kok pak hahahaha. sekalian S2 nya pak. saya Gen Z jiwa millenial pak.",1 day ago (edited),0,pak purbaya itu kalo mau daftar beasiswa s3 bapak tadi dimana ya saya mau kok pak hahahaha sekalian s2 nya pak saya gen z jiwa millenial pak,pak purbaya kalo mau daftar beasiswa s bapak tadi ya mau kok pak hahahaha sekalian s nya pak gen z jiwa millenial pak,pak purbaya kalo mau daftar beasiswa s bapak tadi ya mau kok pak hahahaha sekali s nya pak gen z jiwa millenial pak,"['pak', 'purbaya', 'kalo', 'mau', 'daftar', 'beasiswa', 's', 'bapak', 'tadi', 'ya', 'mau', 'kok', 'pak', 'hahahaha', 'sekali', 's', 'nya', 'pak', 'gen', 'z', 'jiwa', 'millenial', 'pak']",pak purbaya kalo mau daftar beasiswa s bapak tadi mau kok pak hahahaha sekali s nya pak gen z jiwa millenial pak
@tomboonee,"Benar sekali, saya juga mengharapkan bahwa akan ada sekolah terintegrasi. Banyak contoh sekolah Swasta yg terintegrasi, dan terbukti membentuk siswa yang berkharakter.",23 hours ago,0,benar sekali saya juga mengharapkan bahwa akan ada sekolah terintegrasi banyak contoh sekolah swasta yg terintegrasi dan terbukti membentuk siswa yang berkharakter,benar sekali juga mengharapkan akan sekolah terintegrasi banyak contoh sekolah swasta yg terintegrasi terbukti membentuk siswa berkharakter,benar sekali juga harap akan sekolah integrasi banyak contoh sekolah swasta yg integrasi bukti bentuk siswa berkharakter,"['benar', 'sekali', 'juga', 'harap', 'akan', 'sekolah', 'integrasi', 'banyak', 'contoh', 'sekolah', 'swasta', 'yg', 'integrasi', 'bukti', 'bentuk', 'siswa', 'berkharakter']",benar sekali harap sekolah integrasi banyak contoh sekolah swasta yg integrasi bukti bentuk siswa berkharakter
@gelangpatah.,"Mengenai sekolah integritas, apa gk lebih efisien meng upgrade sekolah2 yg sudah ada, sekolah yg sudah mandiri upgrade dari segala sisi, termasuk SDM nya daripada membangun dari awal setiap sekolah dengan biaya dan waktu yg lumayan.",22 hours ago,0,mengenai sekolah integritas apa gk lebih efisien meng upgrade sekolah2 yg sudah ada sekolah yg sudah mandiri upgrade dari segala sisi termasuk sdm nya daripada membangun dari awal setiap sekolah dengan biaya dan waktu yg lumayan,mengenai sekolah integritas apa gk lebih efisien meng upgrade sekolah yg ada sekolah yg mandiri upgrade segala sisi termasuk sdm nya membangun awal sekolah biaya waktu yg lumayan,kena sekolah integritas apa gk lebih efisien meng upgrade sekolah yg ada sekolah yg mandiri upgrade segala sisi masuk sdm nya bangun awal sekolah biaya waktu yg lumayan,"['kena', 'sekolah', 'integritas', 'apa', 'gk', 'lebih', 'efisien', 'meng', 'upgrade', 'sekolah', 'yg', 'ada', 'sekolah', 'yg', 'mandiri', 'upgrade', 'segala', 'sisi', 'masuk', 'sdm', 'nya', 'bangun', 'awal', 'sekolah', 'biaya', 'waktu', 'yg', 'lumayan']",kena sekolah integritas apa gk lebih efisien meng upgrade sekolah yg sekolah yg mandiri upgrade segala sisi masuk sdm nya bangun awal sekolah biaya waktu yg lumayan
@ngoprekchanel8208,"Denger ini berarti Mentri sebelumnya tidak faham dengan keadaan atau sengaja,,,tp sulit membayangkan kalau sekelas ibu itu tidak ngerti, entahlah",1 day ago,0,denger ini berarti mentri sebelumnya tidak faham dengan keadaan atau sengajatp sulit membayangkan kalau sekelas ibu itu tidak ngerti entahlah,denger berarti mentri sebelumnya faham keadaan sengajatp sulit membayangkan kalau sekelas ibu tidak ngerti entahlah,denger arti tri belum faham ada sengajatp sulit bayang kalau kelas ibu tidak ngerti entah,"['denger', 'arti', 'tri', 'belum', 'faham', 'ada', 'sengajatp', 'sulit', 'bayang', 'kalau', 'kelas', 'ibu', 'tidak', 'ngerti', 'entah']",denger arti tri faham sengajatp sulit bayang kalau kelas ibu ngerti entah
@wawansugiantoro7871,"Pak Purbaya mohon ijin, klo orang pinter banyak tp dibungkam oleh penguasa nampaknya cukup sulit juga untuk Indonesia menjadi maju, contohnya seperti pak Jonan dkk 🙏🏻",1 day ago,0,pak purbaya mohon ijin klo orang pinter banyak tp dibungkam oleh penguasa nampaknya cukup sulit juga untuk indonesia menjadi maju contohnya seperti pak jonan dkk,pak purbaya mohon ijin klo orang pinter banyak tp dibungkam penguasa nampaknya cukup sulit untuk indonesia menjadi maju contohnya pak jonan dkk,pak purbaya mohon ijin klo orang pinter banyak tp bungkam kuasa nampaknya cukup sulit untuk indonesia jadi maju contoh pak jonan dkk,"['pak', 'purbaya', 'mohon', 'ijin', 'klo', 'orang', 'pinter', 'banyak', 'tp', 'bungkam', 'kuasa', 'nampaknya', 'cukup', 'sulit', 'untuk', 'indonesia', 'jadi', 'maju', 'contoh', 'pak', 'jonan', 'dkk']",pak purbaya mohon ijin klo orang pinter banyak tp bungkam kuasa nampaknya cukup sulit indonesia jadi maju contoh pak jonan dkk
@MarioDevanvlog,"pak saya mau dikuliahin S3 Ekonomi, S2 sy tinggal tesis",1 day ago,0,pak saya mau dikuliahin s3 ekonomi s2 sy tinggal tesis,pak mau dikuliahin s ekonomi s sy tinggal tesis,pak mau dikuliahin s ekonomi s sy tinggal tesis,"['pak', 'mau', 'dikuliahin', 's', 'ekonomi', 's', 'sy', 'tinggal', 'tesis']",pak mau dikuliahin s ekonomi s sy tinggal tesis
@sin_mura313,Coba bandingkan dengan wapres samsul .... nilai 1 banding 9,18 hours ago,0,coba bandingkan dengan wapres samsul nilai 1 banding 9,coba bandingkan wapres samsul nilai banding,coba banding wapres samsul nilai banding,"['coba', 'banding', 'wapres', 'samsul', 'nilai', 'banding']",coba banding wapres samsul nilai banding
@tedimuhammad9952,bagaimana mungkin mau meningkatkan pertumbuhan ekonomi namun liquiditas didaerah dihabisi dengan pemangkasan dana transfer? dmn logicnya?,7 hours ago,1,bagaimana mungkin mau meningkatkan pertumbuhan ekonomi namun liquiditas didaerah dihabisi dengan pemangkasan dana transfer dmn logicnya,bagaimana mungkin mau meningkatkan pertumbuhan ekonomi liquiditas didaerah dihabisi pemangkasan dana transfer dmn logicnya,bagaimana mungkin mau tingkat tumbuh ekonomi liquiditas daerah habis mangkas dana transfer dmn logicnya,"['bagaimana', 'mungkin', 'mau', 'tingkat', 'tumbuh', 'ekonomi', 'liquiditas', 'daerah', 'habis', 'mangkas', 'dana', 'transfer', 'dmn', 'logicnya']",bagaimana mungkin mau tingkat tumbuh ekonomi liquiditas daerah habis mangkas dana transfer dmn logicnya
@KlangenanMu,K e r e n,18 hours ago,0,k e r e n,k e r e n,k e r e n,"['k', 'e', 'r', 'e', 'n']",k e r e n
@IbnuMuzabAry-fx5ev,"❤❤❤☝️

Ibnu Muzab Ary 
(Aktivis UII Yogyakarta dan KUA kec Peureulak, Aceh)",9 hours ago,1,ibnu muzab ary aktivis uii yogyakarta dan kua kec peureulak aceh,ibnu muzab ary aktivis uii yogyakarta kua kec peureulak aceh,ibnu muzab ary aktivis uii yogyakarta kua kec peureulak aceh,"['ibnu', 'muzab', 'ary', 'aktivis', 'uii', 'yogyakarta', 'kua', 'kec', 'peureulak', 'aceh']",ibnu muzab ary aktivis uii yogyakarta kua kec peureulak aceh
